0,1,2,3,4,5,6
19,"Romantico a luz do luar, majestoso durante o dia, encanta quem o visita assim como a cidade com os seus recantos e ainda o Museu/Convento da Conceicao, riquissimo! De gastronomia estamos falados, simplesmente do melhor que ha em Portugal! A cidade Pax Julia de onde Cesar queria oferecer a paz e a cidade dos amores proibidos como aquele entre a Soror Mariana Alcoforado com o seu tenente frances! Beja, princesa da planicie, vale bem a visita!",3,positive,fotos,agosto,2019
20,A principal atracao da cidade,3,positive,volta,outubro,2018
21,Apesar de nao ser possivel visitar-lo  interior da corre o castelo vale sem duvida uma visita nao so por ser a principal atracao da cidade mas pela vista do topo das suas muralhas.,3,positive,Bonito,agosto,2019
22,Reliquia,3,negative,podia ser melhor,agosto,2019
23,Que beleza.,3,positive,melhor,agosto,2019
24,"A Cidade e linda e muito calma gastronomia de eleicao, acessos muito bons e modernos.",3,positive,podia,julho,2019
25,"Muitas herdades, adegas e hotel de expoente maximo :- Vila Gale Clube de Campo a cerca de 20 km., onde pode fazer passeios de balao.",3,positive,central de Beja,julho,2019
26,Castelo Beja e sua torre menagem,3,positive,Beja,julho,2019
27,5 estrelas e a maior torre menagem da peninsula i Erica do seu topo consevue-se vislumbrar todos os concelhos a volta do concelho de Beja.,3,positive,bonito numa zona,junho,2019
28,Paragem obrigatoria,3,positive,zona central,junho,2019
29,Paragem obrigatoria em Beja e o icone da cidade. O castelo permite uma interessante visita que termina com a magnifica vista na subida ao cimo da torre.,3,positive,Castelo bonito,junho,2019
30,"Poderia estar em melhor estado de conservacao e com alguma especie de guia Historico para os visitantes, o que nos deixa um pouco perdidos na sua visita.",3,positive,bonito,maio,2019
31,Castelo,3,positive,zona,maio,2019
32,"Infelizmente, estava fechado por motivo de reformas, inclusive no lado de fora. So pudemos ver o lado de fora. Mas vale a visita.",3,positive,central,maio,2019
33,Pequeno e charmoso,3,positive,Nao se paga,maio,2019
34,"Nada de mais, vale a pena so pela vista dos campos. Castelo muito pequenino mas incrivelmente bem conservado.",3,positive,andar pelas muralhas,abril,2019
35,Muito bem conservado,3,positive,Castelo,abril,2019
36,Monumento que surpreendeu pela positiva.,3,positive,Nao,abril,2019
37,Muito bem conservado e limpo e com vista impressionante da sua torre sobre Beja e arredores.,3,negative,muralhas,junho,2018
38,Sem duvida o ex libris desta cidade.,3,positive,paga para entrar,marco,2019
39,A torre mais alta de Portugal,3,positive,bonita e tranquila,marco,2019
40,"Para alem da vista fabulosa que do alto da torre se consegue ter da magnifica planicie alentejana, em dias de boa visibilidade, e possivel ver a serra algarvia. As suas muralhas percorrem grande parte da cidade, sendo possivel ter uma ideia de como eram as ruas e as casas da altura. A nao perder.",3,positive,tranquila,fevereiro,2019
41,Muito lindo,3,positive,paga,fevereiro,2019
42,"Local muito bonito. Subindo na torre, a vista e maravilhosa!!! Vale a pena a visita ao Castelo, ao Museu Regional e a Igreja Nossa Senhora dos Prazeres.",3,positive,entrar,marco,2018
43,Agradavel,3,positive,andar,fevereiro,2019
44,Bom sitio para se visitar em beja .,3,positive,Existe,janeiro,2019
45,Fui no sabado na parte da manha e estava aberto ate ao 12.30,3,positive,existirem pessoas dedicadas,dezembro,2018
46,Vista bonita sobre a cidade,3,positive,vende qualquer tipo,dezembro,2018
47,Tem uma loja para comprar recordacoes,3,positive,apesar de existirem,novembro,2018
48,Staff simpatico,3,negative,pessoas dedicadas,julho,2018
49,Regular,3,positive,nao se vende,novembro,2018
50,"Apenas um muro de pedra com restauracao recente como tantos outros existentes em toda a Europa.Torre fecha na hora do almoco, e recomendavel ir ao fim da tarde e subir as escadas ingremes com muito cuidado e atencao.",3,positive,tipo de recordacoes,outubro,2018
51,Muito bonito,3,positive,existirem pessoas,outubro,2018
52,Vale a pena visitar. A loja de turismo e la dentro. Suba a torre e tem uma vista espetacular sobre a cidade.,3,positive,vende qualquer,setembro,2018
53,Belo castelo,3,positive,qualquer tipo,outubro,2018
54,Torre de menagem imponente. Para os apaixonados deste tipo de turismo vale bem a pena. A nao perder passando por estes lados.,3,positive,entanto,setembro,2018
55,Excelente vista,3,positive,apesar,setembro,2018
56,Castelo em bom estado que permite ter uma excelente vista sobre Beja e regiao circundante. Bom local para deixar o carro e passear pela cidade.,3,positive,dedicadas,setembro,2018
57,Torre bem conservada,3,positive,nao,setembro,2018
58,"Do castelo praticamente so sobra a torre de menagem, que da para ver que e sujeita a manutencao e ja foi alvo de recuperacao bem feita. Um barzinho no patio da para tomar uma bebida para refrescar",3,negative,recordacoes,agosto,2018
59,O grande miradouro de Beja,3,positive,existirem,agosto,2018
60,"Um ponto turistico obrigatorio para quem queira conhecer Beja! Situado bem no centro desta cidade alentejana, tem uma paisagem privilegiada sobre toda a cidade e arredores. O Castelo e bastante enigmatico, transportando-nos para a epoca medieval. De uma beleza inigualavel tanto de dia como de noite, vale bastante ve-lo com os seus proprios olhos e aproveitar para tirar umas boas fotografias.",3,positive,pessoas,julho,2018
61,Cartao postal de Beja,3,positive,vende,julho,2018
62,"O Castelo esta muito bem conservado.  E possivel circular por todo entorno junto a muralha, tendo vista 360 da cidade.  A torre possui tres salas intermediarias interessantes e boas para parar e tomar um folego pois sao mais de 180 degraus nos 40 metros de altura, sendo a mais alta da Peninsula Iberica.  O ingresso e gratuito, infelizmente, pois este patrimonio merece um cuidado para evitar a acao de vandalos, que nem sempre se dao conta, por exemplo, que uma foto pendurada no pescoco da estatua, pode derrubar e quebrar um patrimonio de mais de 1000 anos.",3,positive,qualquer,setembro,2017
63,Bom passeio,3,positive,tipo,agosto,2018
64,Bom passeio para relaxar e aproveitar a vista sobre a cidade. Cuidado com o calor eheheh .  Aproveitar as vistas,3,positive,Tambem nao,julho,2018
65,Optimo local para iniciar a visita cultural!,3,positive,nao e possivel,maio,2018
66,"Ao subir ao Castelo e possivel ver toda a cidade e os seus arredores, vista deslumbrante e ambiente medieval.",3,positive,possivel subir,junho,2018
67,"O castelo esta muito bem conservado, tem entrada livre e acesso a torre de menagem, de onde se tem uma magnifica vista sobre toda a cidade",3,positive,subir a torre,maio,2018
68,Esta limpo....,3,negative,Tambem,outubro,2017
69,"Esta limpo, conservado e tem acesso gratuito...",3,negative,desilusao,junho,2018
70,A torre tem uma vista muito interessante.,3,positive,nao,junho,2018
71,"Aparentemente, e so o que tem para oferecer.",3,negative,possivel,junho,2018
72,Bem interessante!,3,positive,subir,maio,2018
73,Castelo com boa conservacao. Aberto ao publico para visitacao. Tem um banheiro. Torre de 183 degraus proporciona bonita visao. Vale a pena.,3,positive,torre,maio,2018
74,Vista panoramica da cidade,3,positive,rever,abril,2018
75,"O castelo encontra-se bem conservado e permite a partir da sua torre de menagem uma vista panoramica da cidade. Embora nao se pague para visitar, deveria haver um funcionario que controlasse o espaco. Dispoe de um cafe no seu interior e de WC, embora nao exista sinaletica indicativa das instalacoes sanitarias.",3,negative,preservado,abril,2018
76,Visita ao Castelo,3,positive,torre bem alta,abril,2018
77,"Interessante conhecer e ver a vista das muralhas do castelo, mas pode ser um passeio rapido, em 30 minutos e possivel ver tudo.",3,positive,alta,abril,2018
78,Castelo muito belo,3,positive,central,abril,2018
79,Top,3,positive,torre,marco,2018
80,Entrada livre.,3,positive,Serve de referencia,marco,2018
81,Torre de menagem acessivel.,3,positive,Beja,abril,2017
82,Vista espetacular de toda a cidade.,3,positive,Serve,fevereiro,2018
83,Recomendavel para quem tem interesse por monumentos historicos,3,negative,referencia,fevereiro,2018
84,vista deslumbrante subindo as 168 degraus,3,negative,circula,fevereiro,2018
85,"Visitar o castelo em baixo e uma coisa mas subir os cerca de 168 degraus e de facto uma proeza que vala bem a pena pela vista deslumbrante que nos proporciona. Os degraus sao faceis de subir, e tem intervalos para descanso. Mais acima comeca a estreitar e temos que esperar pelos que descem ou caso contrario os que sobem. Nao podem subir e descer ao mesmo tempo em simultaneo.A vista dos 4 quadrantes e indescritivel. Ir a Beja e nao subir a torre e como ir a Roma e nao ver o Papa.",3,positive,percorremos as ruas,fevereiro,2018
86,Um dos castelos mais lindos com certeza!,3,positive,interesse e restauracao,janeiro,2018
87,"O castelo de Beja, tem uma arquitetura muito bonita. Se mantem como um dos mais bonitos da regiao, seu jardim e sua estrutura interior e bastante conservada e o mirante e muito bonito.",3,positive,antiga da cidade,janeiro,2018
88,Vale a pena conhecer!,3,positive,cidade ate,dezembro,2017
89,Torre muito bonita!,3,positive,castelo,dezembro,2017
90,A torre do castelo e lindissima!,3,positive,percorremos,dezembro,2017
91,"Poderia ter algum funcionario no local a controlar as subidas e descidas, pois existem passagem apertadas.",3,negative,restauracao,dezembro,2017
92,"A vista das planicies, um pedaco de historia",3,positive,ruas,dezembro,2017
93,"Ao visitar Beja, vale a pena ir ao Castelo. Sem limitacao no acesso, permite ter uma vista agradavel na torre de menagem.",3,positive,antiga,maio,2017
94,Monumento a visitar em Beja,3,positive,cidade,setembro,2017
95,Se for a Beja nao deixe de visitar este monumento e de subir a torre de menagem do castelo. Se levar criancas pode ser um pouco cansativo mas proveitoso porque os miudos divertem-se a subir e imaginar os guerreiros.,3,positive,ate,maio,2017
96,"Castelo de acesso facil, muito bem cuidado e preservado. Pateo limpo e cheio de verde. Pode-se subir a torre, com entrada gratuita. Pessoal muito simpatico. Merece uma visita!",3,positive,interesse,agosto,2017
97,Um pequeno castelo dentro da cidade,3,negative,Vista magnifica,outubro,2017
98,Bem preservado e perto do centro; com melhorias recentemente implementadas. Vale a pena subir para ver a vista e sentir a atmosfera do passado,3,positive,Vista,outubro,2017
99,Passeio,3,positive,cidade,outubro,2017
100,"Um Sitio descontraido com uma vista muito boa da cidade de Beja. Acredito que seja um local bom para tirar umas boas fotografias com amigos e familiares, recomendo.",3,negative,magnifica,outubro,2017
101,Lindo castelo,3,positive,agradavel passear,outubro,2017
102,"Este castelo encontra-se num bom estado de conservacao. Da sua Torre de Menagem, bem conservada, tem-se uma vista sobre toda a cidade.",3,positive,passear pelas muralhas,setembro,2017
103,Inesquecivel!,3,positive,muralhas e usufruir,setembro,2017
104,Maravilhoso! O por do sol visto do Castelo e ainda mais esplendoroso! Pisar em locais historicos tao bem conservados causa muita emocao!,3,positive,usufruir da vista,setembro,2017
105,Mal recuperado,3,positive,muralhas,setembro,2017
106,"Penso que o governo deveria de fazer melhor na recuperacao dos castelos como o de Beja,",3,positive,vista,setembro,2017
107,Nem tudo e Lisboa e Porto.,3,positive,cidade,setembro,2017
108,"Este castelo com uma historia fantastica e do mais antigos bem como o que tem a torre da menagem mais altas do pais, devia de ter uma programa de recuperacao mais adequado e nao serem usadas materias fora de epoca que destroem toda a fachada.",3,positive,interior da torre,setembro,2017
109,Bonito porem pequeno,3,positive,tinha fechado,setembro,2017
110,"Um pequeno castelo no centro da cidade, visitei apenas por fora, estiva de passagem pela regiao e entrei na cidade para ver o castelo e gostei.",3,positive,muralhas valeu,agosto,2017
111,Viagem no Tempo,3,negative,agradavel,agosto,2017
112,"Passear por um castelo medieval e com viajar no tempo. O passeio e gratuito. Andar pelas muralhas, e, subir ate o topo da muralha e desfrutar de uma vista de 360o e maravilhoso.",3,positive,passear,agosto,2017
113,Lindo,3,positive,usufruir,agosto,2017
114,Castelo muito bonito e em otimo estado de conservacao. Tem uma vista espetacular da cidade e tanto por fora como por dentro e realmente deslumbrante.,3,positive,dali,agosto,2017
115,Portugal no seu melhor,3,negative,possivel visitar,julho,2017
116,Recomenda se vivamente a subir ao castelo e ver a vista deslumbrante sobre a cidade de Beja .,3,positive,visitar o interior,julho,2017
117,As escadas ingremes o estreitas dificultam ou ate mesmo impossibilitam pessoas de mobilidade reduzida. Pouco ou nada se pode fazer para melhorar este ponto...... VALE A PENA (MESMO ) visitar,3,positive,valeu sem duvida,agosto,2017
118,agradavel mas sem elevador,3,negative,duvida uma visita,agosto,2017
119,"subir ao cimo da torre de menagem ,proporciona uma vista unica sobre a planicie alentejana. a torre deste tipo mais alta de Europa e tanbem o ponto mais alto do alentejo, as escadas sao muitas ,mas compensa o esforco",3,positive,principais atracoes,agosto,2017
120,Otimo passeio,3,negative,nao,agosto,2017
121,"Um belo passeio. A Torre da Menagem , muito alta, oferece uma vista linda, compensando os quase duzentos degraus.",3,positive,Castelo simpatico,agosto,2017
122,Agradavel Surpresa,3,positive,Beja,julho,2017
123,Foi uma agradavel surpresa visitar este Castelo apos as obras que teve.,3,positive,simpatico para passeio,agosto,2017
124,"Aproveitei para visitar melhor e de facto, e dos castelos mais bonitos, com melhores vistas sobre a planicie alentejana.",3,positive,Castelo,setembro,2016
125,"Apesar de estar fechado a noite, aconselho a visitar o seu exterior pois o jogo de luzes, as arvores torno o local fantastico.",3,positive,simpatico,junho,2017
126,ATENCAO as carteiras e coisas de valor pois e um local com algumas pessoas com ar duvidoso,3,positive,passeio,agosto,2017
127,Castelo simples mas com vista espetacular!,3,positive,vista,agosto,2017
128,O castelo e pequeno mas encontra-se em bom estado conservacao e limpeza.,3,negative,subida e descida,julho,2017
129,Esta no centro historico de Beja e num dos pontos mais altos da cidade.,3,negative,aconselhado a idosos,agosto,2017
130,"No seu interior tem a casa que pertencia ao Governador da Cidade, agora convertido parcialmente em bar / cafe.",3,negative,dando uma vista,agosto,2017
131,"O que merece a sua visita e a torre, com mais de 200 degraus para subir, com mais de 35 m de altura.",3,positive,paisagem alentejana,julho,2017
132,"Tem varias paragens intermedias possiveis, creio que sao 3 sala, onde se pode ler um pouco da historia de cada uma assim como descancar as pernas! :)",3,positive,degraus ingremes,setembro,2016
133,"No topo esta uma vista deslumbrante sobre a cidade, 360o!!!",3,negative,ingremes mas largos,junho,2017
134,E que a torre do castelo acaba por ser o mais alto edificio em toda a cidade de Beja!,3,positive,facilitou a subida,junho,2017
135,So por isso merece visitar!,3,positive,nao aconselhado,maio,2017
136,Local interessante e bem preservado,3,positive,vista fantastica,maio,2017
137,"Falta um pouco de informacao mas a construcao esta bem preservada. Pela posicao privilegiada, ali devia ser o local de vigia que identificaria qualquer movimento no sentido da cidade. A entrada e gratis e o passeio leva uns 40 minutos.",3,positive,Castelo,agosto,2016
138,"Dica: Antes de ir se informe sobre os horarios, por exemplo na hora do almoco o local fica fechado.",3,positive,Beja,maio,2017
139,Interessante,3,positive,descida,maio,2017
140,Vale pela esplendida vista da Torre de Menagem que compensa o esforco da subida! Poderia estar mais bem conservado e atrativo para locais e turistas!,3,positive,idosos,maio,2017
141,Vista boa mas mal aproveitado,3,positive,dando,maio,2017
142,Vista boa mas mal aproveitado.,3,positive,alentejana,abril,2017
143,Nao tem material iterativo ou explicativo dentro do museu...nao faz sentido.,3,positive,degraus,abril,2017
144,Apenas duas placas simples e com pouca informacao.,3,positive,ingremes,abril,2017
145,"Merecia outra gestao, sobretudo nos dias de hoje em que os turistas estao mais exigentes, mais cultos e procuram enriquecimento cultural.",3,positive,largos,abril,2017
146,A torre e a melhor atraccao.,3,positive,facilitou,marco,2017
147,"Bem conservado, bem servido por um estacionamento, ha um cafe em seu interior e uma vasta area para explorar. A torre e a melhor parte.",3,positive,subida,marco,2017
148,Torre espetacular,3,positive,Torre muito bonita,fevereiro,2017
149,"No castelo de Beja destaca-se a Torre com quase 40 metros, que proporciona uma vista fantastica sobre a cidade e a sua envolvencia. A entrada e gratuita, e existe estacionamento por perto. Vale a pena visitar.",3,positive,Torre,fevereiro,2017
150,Vista panoramica,3,positive,bonita,marco,2017
151,"A visita ao Castelo consiste essencialmente na subida a torre de menagem, a mais alta da Peninsula Iberica com os seus 38,8 metros de altura.",3,positive,capitais de distrito,agosto,2016
152,A entrada e gratuita.,3,positive,distrito do Alentejo,fevereiro,2017
153,Relaxante,3,positive,Alentejo e terra,fevereiro,2017
154,E uma visita com um sabor a viagem no tempo.,3,negative,Alentejo,fevereiro,2017
155,"Os miudos adoraram , facil acesso. Ha estacionamento a volta. Tem uma vista fantastica e e possivel ter refeicoes parto.",3,positive,Beja tinha,julho,2016
156,Aconselho a visitar,3,positive,Beja,dezembro,2016
157,Ferias em Beja,3,positive,Bela,fevereiro,2017
158,Local a visitar e para quem nao tiver vertigens e estiver bem preparado para subir os 186 degraus da torre do menagem a vista compensa,3,positive,imponente,dezembro,2016
159,Castelo lindissimo!,3,positive,sobressai a torre,maio,2016
160,Castelo muito bem conservado e que permite umas vistas soberbas. Subir a torre e olhar sob Beja e Espanha e fantastico. A senhora que nos atendeu foi muito simpatica e prestavel e o preco sao uns simbolicos 2 euros.,3,positive,Correspondeu as expectativas,dezembro,2016
161,Vista maravilhosa,3,positive,lembrar a torre,dezembro,2016
162,"A torre de Menagem e linda e tem uma vista deslumbrante. Lugar fantastico para visitar em qualquer tipo de situacao, seja em familia ou com amigos.",3,positive,capitais,dezembro,2016
163,"O Castelo de Beja esta muito bem cuidado, sendo possivel subir a torra e desfrutar das vistas fantasticas sobre a cidade de Beja. Visita obrigatoria.",3,positive,distrito,dezembro,2016
164,Muito bonito e vem conservado,3,positive,terra,outubro,2016
165,Adoramos a visita. Castelo muito bem conservado e muito bonito. Digno de se ver. As pessoas que la trabalham sao muito acolhedoras e simpaticas.,3,positive,tinha,abril,2016
166,fantastico!,3,positive,torre,novembro,2016
167,"Bem recuperado,em bom estado de conservacao,imponencia e com uma vista fantastica sobre a planicie alentejana.Entrada Gratis.",3,positive,terra de castelos,novembro,2016
168,Simplismente lindo <3,3,negative,castelo,novembro,2016
169,"Amei toda a cidade, povo receptivo clima agradavel e monumentos incriveis incluindo este. Muita historia e cultura a se desfrutar.",3,positive,cidade de Beja,outubro,2016
170,"Se voce esta em Beja vale conhecer, mas nada de especial. Apenas subir para ver a vista da cidade, isso se nao tiver problemas com escadas",3,positive,castelo de Beja,outubro,2016
171,Intervencao e recuperacao do edificado do castelo com mais valia para os visitantes,3,positive,Castelo de Beja,outubro,2016
172,Espaco envolvente cuidado. Facilidade no acesso e boa circulacao no espaco de muralha. Excelente local de visita.,3,positive,Beja,outubro,2016
173,Castelo altaneio,3,positive,Castelo,outubro,2016
174,"Com uma vista deslumbrante o castelo de Beja presenteia-nos com uma vista sobre a vasta planicie alentejana, magnifica.",3,positive,Convento da Conceicao,outubro,2016
175,Lindo Castelo de Beja!,3,positive,Romantico a luz,setembro,2016
176,"O Alentejo e lindo, quente e lindo!",3,positive,luz do luar,outubro,2016
177,"Torre de Menagem, sem duvida linda!",3,positive,majestoso durante,outubro,2016
178,Vale a pena visitar o Alentejo 1,3,positive,cidade Pax Julia,setembro,2016
179,Um excelente local para visitar!,3,positive,Soror Mariana Alcoforado,setembro,2016
180,A torre do Castelo tem vistas fantasticas sobre a cidade de Beja. E gratuito e tem parque de estacionamento perto do local.,3,positive,Museu,julho,2016
181,A perder de vista,3,positive,Convento,agosto,2016
182,Impressionante torre de menagem.,3,positive,Conceicao,agosto,2016
183,"Conforme descrito, permite ver a kms de distancia em todas as direcoes.",3,positive,gastronomia estamos falados,setembro,2016
184,"Bem arranjado, gratis e de facil acesso.",3,positive,cidade Pax,agosto,2016
185,Perceber os porques e conhecer z historia que que e e faz o nosso pais.,3,positive,Pax Julia,agosto,2016
186,Triste e ver a falta de respeito que certas pessoas tem pelo patrimonio nacional.,3,negative,Soror Mariana,agosto,2016
187,Fazer inscricoes estupidas em estatuas com seculos de existencia!!!,3,positive,Mariana Alcoforado,agosto,2016
188,A mais alta...,3,positive,cidade,agosto,2016
189,A mais alta torre de menagem do pais...,3,positive,Cesar queria oferecer,agosto,2016
190,Muitas escadas para subir para encontrar uma vista de cortar a respiracao...,3,positive,riquissimo,agosto,2016
191,"Castelo bem conservado, sendo possivel caminhar nalgumas muralhas.",3,positive,Romantico,agosto,2016
192,Castelo Beja,3,positive,luar,agosto,2016
193,"Vale a pena visitar o Castelo de Beja. De facil acesso e gratuito, permite subir as muralhas, ate ao topo e contemplar a vista da vasta planicie.",3,positive,majestoso,dezembro,2015
194,Viagem Portugal,3,positive,atracao da cidade,julho,2016
195,"Vale a visita sim, afinal, pontos historicos e em lugares diferentes aos grandes centros e de grande transito de turistas, sempre vale a pena. Para quem esta passeando de Evora para Regiao de Lagos, parar para esticar as pernas e conhecer, afinal esta no caminho. Recomendo sim.",3,positive,principal atracao,julho,2016
196,"E um castelo pequeno, mas tem a sua historia.",3,negative,cidade,julho,2016
197,"Apesar de ser pequeno, vale a pena visitar. Tem uma torre que se pode subir e ver a paisagem. Esta situado no centro e tem um parque para estacionar as viaturas.",3,positive,principal,outubro,2015
198,Parabens pela conservacao,3,positive,atracao,julho,2016
199,"Este espaco esta muito bem conservado, a vista e fantastica e permite ver toda a cidade do topo da torre. Uma situacao muito interessante e ser de visita gratuita, o que e cada vez mais raro.",3,positive,possivel visitar-lo interior,julho,2016
200,Super conservado,3,positive,possivel visitar-lo,julho,2016
201,Eu fico muito contente quando vejo castelos bem conservados pelo mundo. Este estava muito mesmo conservado. Pode-se entrar sem pagar nada.,3,positive,visitar-lo interior,julho,2016
202,Uma Torre para subir,3,positive,interior da corre,junho,2016
203,"Os restos do castelo de Beja, com uma torre reconstruida.",3,negative,corre o castelo,junho,2016
204,"A subida ao cimo da torre vale o esforco, sao 183 degraus em espiral, mas a vista la de cima e espetacular.",3,positive,castelo vale,junho,2016
205,O miradouro de beja,3,positive,vale sem duvida,maio,2016
206,Um belo monumento a visitar. E possivel ver toda cidade de cima das torres. Lugar cuidado e limpo. Entrada gratis. Vale bem a visita.,3,positive,duvida uma visita,agosto,2015
207,Fantastico,3,positive,principal atracao,maio,2016
208,"Gostamos muito do castelo, mas gostariamos de destacar principalmente a amabilidade do senhor funcionario que nos recebeu no posto de turismo. Um bem-haja e obrigado pela simpatia!",3,positive,atracao da cidade,maio,2016
209,A bucolica Beja e seu castelo,3,positive,vista do topo,maio,2016
210,"Beja e uma pequena cidade do Alentejo muito graciosa pela sua simplicidade, pelas casinhas brancas, pelo vagar do seu cotidiano. O Castelo de Beja e bem interessante, a muralha e a torre foram revitalizadas. Do alto da Torre podemos ver a cidade toda.",3,positive,visita nao,janeiro,2016
211,Bonito Castelo,3,positive,Apesar de nao,agosto,2015
212,"Bonito Castelo, muito bem cuidado por fora, nao foi possivel ver por dentro. Vale a pena passar por la pois e unico a visita a um castelo.",3,positive,nao ser possivel,marco,2016
213,Extraordinario,3,positive,Apesar,fevereiro,2016
214,Chegamos ja quase na hora de fecho da torre do castelo; na verdade esta ja deveria estar fechada mas como a senhora do posto de turismo estava com visitantes nao o fez mais cedo. Apos uma breve troca de informacoes a senhora disse para irmos a torre dado que ela ainda tinha de subir ao topo para fechar tudo.,3,positive,muralhas,dezembro,2015
215,Subimos e a cada fase desta torre fantastica ficavamos cada vez mais maravilhados com a beleza de algo construido numa epoca em que nao havia maquinas como hoje.,3,positive,nao,dezembro,2015
216,"Quando chegamos ao topo a senhora juntou-se a nos e, apesar de ja estar mais do que na hora de saida, perdeu tempo a explicar-nos tudo o que questionamos sobre a cidade, sobre o castelo... tenho pena de nao me lembrar do nome da senhora, mas a simpatia nunca sera esquecida.",3,positive,possivel,agosto,2015
217,E a vista deste local sobre a cidade de Beja e sobre a planicie toda a volta e de cortar a respiracao.,3,positive,visitar-lo,marco,2015
218,Vale a pena,3,positive,interior,novembro,2015
219,"Castelo muito bonito, torre de menagem das maiores da peninsula iberica, bem conservado. Vista lindissima sobre uma cidade parada no tempo",3,positive,Reliquia,janeiro,2015
220,"Castelo bonito, vale a pena",3,positive,beleza,agosto,2015
221,"o Castelo e muito bonito, tem paisagens lindas, muitas escadas para chegar ao cima da torre. o unico sitio de Beja que vale a pena ver.",3,positive,Cidade e linda,outubro,2015
222,cidade parada no tempo,3,negative,gastronomia de eleicao,outubro,2015
223,"terca-feira, cidade velha e sem vida, parada no tempo, o castelo estava fechado,a zona da mouraria achei pouco interessante, demasiado simples, palacetes degradados incluindo o da GNR,enorme e uma parte das parede a cair, o parque da cidade, pouco cuidado e com algum lixo, se nao fosse as laranjeiras carregadas de laranjas a dar a sua graca.....",3,positive,calma gastronomia,setembro,2015
224,Passeio,3,positive,Cidade,agosto,2015
225,Gostei sitio muinto tranquilo para passar calmo sossegado com vistas muinto bonitas quando poder voltarei,3,positive,eleicao,setembro,2015
226,Nada especial,3,positive,acessos,maio,2015
227,"So gostei da vista para Os arredores de Beja. Apesar de haver um cafe no interior, nao e nada de especial.",3,negative,modernos,agosto,2015
228,Regresso ao passado,3,negative,linda,agosto,2015
229,Simplista e sui generis. Mas tem muralhas e uma torre com muitos degraus...,3,positive,calma,maio,2015
230,Visita em 30m mas com exercicios de pernas a preceito!,3,positive,gastronomia,julho,2015
231,Cheio de charme e rico em historia!,3,positive,Vila Gale Clube,julho,2015
232,"Beja, cidade medieval. Apos 500 anos do dominio mouro, Al Andaluz Islamico, foi retomada e reconstruida pelo rei de Portugal. Torre de 40 metros de altura, com nova estrategia para ataque e defesa com tres niveis de torre e e em pontos diversos, com criacao de muralhas com passadicos mais largos e com agulhas para ataque vertical.",3,positive,Vila Gale,maio,2015
233,A visitar em Beja,3,positive,Gale Clube,julho,2015
234,"Um bonito Castelo no meio da cidade de Beja. Com vista a paisagem alentejana. Nota-se na torre principal uma reconstrucao recente com pedra atual, que tendo em conta o lado positivo nao deixou que o castelo ficasse em ruinas mas por outro lado esta presente a atualidade o que descaracteriza um pouco. Mas e um monumento a nao perder por quem passa por ali.",3,positive,Clube de Campo,julho,2015
235,Mais um castelo altaneiro,3,positive,Muitas herdades,junho,2015
236,Mais um pouco da nossa historia... Subir a torre do castelo so e aconselhavel a quem nao sofra de vertigens e que tenha ingerido uma bela refeicao.,3,positive,Campo a cerca,julho,2015
237,tipico do alentejo,3,positive,adegas e hotel,junho,2015
