,Avaliações
35,"Gostei muito de visitar o Museu Visigótico em Beja.
"
36,"A área ocupada pelo  Museu poderá não ser muito grande mas a variedade de artefactos históricos e arqueológicos que podemos admirar é valiosíssima.
"
37,"Recomendo vivamente a visita a este belíssimo espaço.
"
38,"Muita pedra
"
39,"Pedras e mais pedras. Nao deixa de ser interessante. Destaco o tumulo de um cavaleiro de el-Rei D. Dinis 
"
40,"Pequeno
"
41,"Museu pequeno, situado em uma antiga igreja. O horário divulgado de abertura não é cumprido muito fielmente, de modo que tivemos alguma dificuldade em achar, porque da primeira vez que passamos no local estava fechado, e não há placas. O ingresso vale também para o Museu Regional D. Leonor. A foto que ilustra o cabeçalho é deste último, e não do Museu Visigótico.
"
42,"Um espaço pequeno com pouca variedade
"
43,"É sabida a falta de vestígios visigóticos no nosso território. Por esse motivo explica-se que o museu tenha tão poucas peças, mas de facto as que encerra são muito boas, talvez únicas em Portugal.
"
44,"Se não se tiver uma base mínima de conhecimentos de História... vai-se sem qualquer proveito, dado nada integrar o conteúdo do museu num todo da História que conduziu ai aparecimento de Portugal.
"
45,"Ruinas antiguissimas
"
46,"Crianças não pagam e o valor é simbólico, mesmo bilhete para o museu regional.
"
47,"Não necessita de muito tempo e fica ao lado do castelo.
"
48,"Não falha em Beja
"
49,"A não perder mesmo.
"
50,"Igreja museu
"
51,"Bom local para visitar. Gratuito. Um museu dentro de um museu já que se localiza numa igreja. A arte visigótica é pouco exposta e isso aqui é conseguido.
"
52,"Maior espólio visigótico nacional
"
53,"Entrem e apreciem o estilo visigótico muitas das vezes reaproveitado sobre o estilo romano.Tenham em mente que este edifício foi construido por volta do século III DC e preservado ao longo dos tempos.por lá passaram romanos, visigodos e reis e rainhas portuguesas entre outros.
"
54,"Imperdível
"
55,"Este museu fica logo atrás do castelo e funciona na antiga igreja, datada do século 6 e portanto muito antiga. Dica: a entrada permite acesso ao museu regional da cidade.
"
56,"Descoberto por acaso
"
57,"Museu pequeno mas repleto de fragmentos que lhe conferem dimensão histórica. A capela prima pela simplicidade e austeridade do espaço, tornando-se muito acolhedora. 
"
58,"Apesar de pequeno...
"
59,"Um bom nicho para redescobrirmos as marcas visigóticas na nossa cultura portuguesa.
"
60,"Apesar do espaço pequeno, houve uma boa tentativa de incluir e integrar as peças expostas, na maioria pedaços de pedra decoradas, no seu contexto. 
"
61,"A visitar!
"
62,"A não perder
"
63,"Museu da cidade, também chamado de Museu Rainha Dona Leonor, personagem que se pode ver na estátua do pátio da entrada exterior. Com história de antigo convento que acolhia a Sóror Mariana Alcoforado, autora das cartas de amor escritas a um combatente francês da guerra da restauração que ali combateu. Essas cartas viraram um famoso livro clássico de literatura universal. 
"
64,"Fechado e aparentemente inacessível a partir de março de 2019
"
65,"Decepcionado em encerrar a marcha no final de março de 2019, sem horário de funcionamento ou qualquer outra informação fora do prédio, ou qualquer outra indicação de que estava fechado a partir do ingresso conjunto do Museu Regional.
"
66,"Vale a pena visitar.
"
67,"Este lugar merece uma visita, se tiver tempo de sobra em Beja. Há alguns artefatos interessantes aqui, mas é pequeno, mas a cidade é pequena.
"
68,"Não é mais uma igreja, mas, como um museu, é simples e arrumado.
"
69,"Os remanescentes arquitetônicos mostram influências clássicas, pagãs e cristãs primitivas. Também Sherie é a informação sobre os visigodos e um mapa interessante de suas migrações. .
"
70,"Um pequeno museu mas interessante
"
71,"Este museu tem muito espaço para um pequeno número de itens. No entanto, as explicações são melhores aqui do que no museu regional e por isso é mais interessante. É muito perto do castelo e vale a pena cair dentro Seu bilhete deste museu serve como entrada no museu regional também.
"
72,"Um dos mais antigos edifícios permanentes em Portugal
"
73,"C6 Reino Visigodo Início igreja com esculturas e colunas em excelente estado de conservação (um de apenas 4.esquerda pré-românico em Portugal).  Felizmente, fomos ficando em Beja o suficiente para aguardar a reabertura da igreja (fechado devido a os problemas de saúde de um membro da equipe).
"
