,Avaliações
47,"Para os amantes de história, particularmente de quadros e achados arqueológicos, é uma visita que recomendo, mesmo.
"
48,"Tudo bem conversado, estimado, e bem descrito para que os visitantes leiam e entendam o que estão a visitar.
"
49,"Uma joia imperdível em Beja
"
50,"Fundado por ordem dos primeiros Duques de Beja, pais de D. Manuel, foi um dos mais ricos conventos do Sul. Capela rococó com madeira cromada do séc. XVII e XVIII que nos deixa sem palavras durante uns minutos; um altar de mosaico florentino belíssimo. Uma coleção de pintura da escola portuguesa e espanhola maravilhosa com destaque para a obra Ecce Homo. Os azulejos são interessantíssimos. Ver a porta de Mértola, por onde Mariana Alcoforado via o seu amor, alvo de uma paixão avassaladora que produziu as Lettres Portugaise, marco da Literatura internacional.
"
51,"Visita necessária.
"
52,"Comece sua visita por Beja por este museu. Acredito ser a melhor atracção na região! O interior do prédio é uma obra de arte que rende fotos maravilhosas!
"
53,"A necessitar de se modernizar
"
54,"Museu pequeno mas com um espólio interessante. Necessita de obras de intervenção de modo a tornar-se mais interactivo e cómodo para quem o visita. Não existem, só para dar um exemplo, legendas ou explicações na maior parte dos itens e as que existem estão só em Português, impossibilitando deste modo a visita por parte de turistas estrangeiros.
"
55,"Se comprarem a entrada no museu de arte visigotica (próximo do Castelo) podem visitar este museu gratuitamente. 
"
56,"Um museu sem nada de espectacular
"
57,"Um museu sem nada de espectacular.
"
58,"Na verdade, o principal foco de interesse são mesmo os azulejos.
"
59,"Em todo o caso a visita é um pouco secante, sobretudo para crianças.
"
60,"Museu com vida
"
61,"A minha visita ao museu inseriu-se num evento que se integrava nas Palavras Andarilhas e foi excelente porque assim tive oportunidade de visitar o Museu para além de ainda comprar alguns doces conventuais.
"
62,"Um museu pequeno
"
63,"exelente
"
64,"Um dos mais belos museus de Portugal.
"
65,"Recomendo a todas as pessoas que estejam de visita a Beja a virem conhecer este monumento.
"
66,"Museu de Beja
"
67,"Um Museu que espelha bem a riqueza do património nacional espalhado por todo o país. Vale pelo acervo e também pelo edifício, antigo convento, onde se instalou.
"
68,"Boa atração
"
69,"Tem uma capela muito bonita. O acervo do museu deve um pouco, mas vale uma  visita. A entrada é 1 euro.
"
70,"Em Pleno Centro da Cidade
"
71,"O Museu Rainha D. Leonor, é uma grande atracção turistica de Beja, a nossa capital de Distrito. Em pleno coração da cidade vale a pena visitá-lo, não só pela parte histórica como a parte mais moderna. José Saramago, já escreveu sobre ele.
"
72,"Fraco 
"
73,"Rainha Leonor só dá nome ao museu. Não há nada nesse museu que remeta a ela, apenas uma estátua dessa Rainha na parte externa. Capela e salas muito lindas que valem a pena serem vistas mas mal conservadas, azulejos quebrados e sem restauração. Pequeno acervo e temática misturada. Não gostei. 
"
74,"Falta manutenção
"
75,"O museu tem pouco acervo e há falta de manutenção tem itens deteriorando com perdas sérias. Apesar de ter o nome da Rainha Dona Leonor somente a estátua do lado de fora faz essa ligação.
"
76,"Uma agradável surpresa.
"
77,"Fomos ver por acaso,. Porque por acaso passámos ali ao pé, por acaso estava aberto, por acaso até era gratuito e agradecemos ao acaso porque vale a pena a visita.
"
78,"Um museu de excelência!!
"
79,"Um museu digno de ser visto!! É pena a falta de apoios que permitissem uma melhor conservação de alguns dos museus de Portugal.
"
80,"Museu com uma capela barroca maravilhosa.
"
81,"O museu não se paga ao domingo, no início é nos oferecido um guia sobre o espólio e a história do museu.É de realçar a capela barroca.
"
82,"obrigatório para quem visita Beja
"
83,"Vale a pena  visitar este museu pois contem uns pedaços da nossa historia pela região. pena ser pequeno, pois pelo que nos foi dito ainda há mais coisas guardadas por falta de espaço no museu
"
84,"Explorando Bej
"
85,"Museu interessante mas muito pequeno. Beja é uma cidade muito pequena e é possível conhecer tudo em apenas um dia. Fiz todos os pontos turísticos de Beja andando.
"
86,"Museu à antiga
"
87,"Fez lembrar os museus de Portugal dos anos 80. A colecção merece a visita, mas a exposição, os materiais de apoio, a lógica necessitam ser repensado! A necessitar revisão urgente!
"
88,"Uma excelente escolha
"
89,"Um museu que já foi um convento em pleno centro da cidade de Beja é um excelente ponto de partida para conhecer melhoa a sua história,
"
90,"Alentejo
"
91,"Espaco muito bonito. Está melhor por dentro do que no exterior. Entrada o trabalho em Talha dourada é soberbo e deve ser visto. 
"
92,"Belo e histórico 
"
93,"É uma cidade com charme alentejano e de gente encantadora, mas, digo com alguma ironia que não nos querem lá ao fim de s
"
94,"Os restaurantes e lojas estão fecham para fim de semana ao sabado ao almoço e ao Domingo, com raras mas boas exceçpões, está, praticamente, tudo fechado.  
"
95,"Reservem o restaurante com antecedencia.
"
96,"O MUSEU REGIONAL e o Museu Visigotico, assim como o castelo, são dignos duma visita, mas a principal riqueza de Beja está nas redondezas e nas pessoas. Na restauração, nas quintas de excelentes vinhos e gastronomia.
"
97,"Mas, a sério, de preferencia durante a semana.
"
98,"Excelente colecção de Azulejos
"
99,"O Museu tem uma excelente colecção de azulejos assim como uns andores em prata muito bonitos e interessantes.
"
100,"Vale a pena a visita.
"
101,"Melhor que alguns museus nacionais
"
102,"Surpreendeu -me pela positiva.  Excelente coleção de pintura, num edifício magnifico. Melhor do que muitos museus nacionais
"
103,"Conhecer a história da cidade!
"
104,"A visitar, para conhecer a história da cidade! Belíssima Igreja! Um espólio de pintura notável! A sala do capítulo de enorme beleza!
"
105,"Museu Regional
"
106,"Nunca me canso de visitar este museu.
"
107,"Tem obras fantásticas, arte sacra e um espectacular espólio arqueológico entre outros temas a ver. Aconselho a sua visita=)
"
108,"Vale a visita
"
109,"Museu muito interessante com um bela capela barroca e boa Arte Sacra com destaque para um Ecce Homo do Séc. XV atribuído a Mestre Gil da Escola de Coimbra.
"
110,"Imperdivel
"
111,"visita ao museu
"
112,"Gostei do espaço, a funcionária foi muito simpática e esclarecedora. Gostei de tudo mas muito em particular dos Cristos e outras imagens religiosas, assim como de todo o espaço onde se encontra o museu
"
113,"Interessante!!
"
114,"Várias épocas abordadas. Fácil e rápido de visitar. Precisa de alguma recuperação. Localizado no Centro histórico com bom acesso e parqueamento disponível. 
"
115,"Um importante espólio cultural
"
116,"Instalado no Convento de Nossa Senhora da Conceição, o Museu Regional Dona Leonor guarda um importante espólio cultural e um pedaço da história da cidade de Beja. Destacam-se as colecções de arte sacra e azulejaria e a Igreja que serve de entrada para o Museu.
"
117,"Pessoalmente considero que este é um sítio agradável para se visitar em Beja. Contudo, o museu está “quase” ao abandono: maravilhosas obras da arte sacra expostas ao calor alentejano, sem ar-condicionado?  A sério? Por favor…
"
118,"Agradável e interessante
"
119,"Vale a pena visitar, o sr que está à entrada é muito simpático e tem gosto em explicar tudo, fez nos uma breve apresentação daquilo que iamos encontrar, realçou os pontos de maior interesse e sugeriu nos outros espaços a visitar, com direito a explicação. Quando encontramos pessoas assim, até o espaço ganha outra dimensão e o interesse também. O meu filho adorou ouvir o que este senhor explicou.
"
120,"Museu interessante.
"
121,"O museu é bastante interessante, inclui igreja onde está sepultado D. Fernando e o filho D. Diogo. Também se podem ver algumas pedras tumulares de personalidades de Beja, assim como exemplos das diferentes culturas que passaram pela cidade.
"
122,"Gostei.
"
123,"Museu repleto de história
"
124,"Este é o principal museu da cidade e do Baixo Alentejo. Após visita-lo diria que são vários museus dentro de um museu. Dentro dele é possível ver uma igreja logo à entrada, um convento, salas com pinturas do séc. XV a XVIII e salas totalmente revestidas de azulejos portugueses e hispano-árabes.
"
125,"Dentro deste magnífico também é possível observar arte romana, e estilo gótico e manuelino na estrutura do museu.
"
126,"Histórico.
"
127,"Um repositório de História e de histórias. Não esquecer os amores de Soror Mariana Alcoforado e Junot... Pinturas e igreja muito bem conservados. Interesantíssimos tesouros arqueológicos. Vale bem a visita. Pareceu-me que o edifício agradeceria umas obras de conservação.
"
128,"Eu e o meu amigo deixámos para o último dia a visita do museu. Foi fantástico, e ficámos com pena de não ter tido mais tempo para visitar. Recomendamos que, se for possível, visitem o museu com um guia; nós tivémos um guia fantástico, que nos explicou muito bem as peças e tornou tudo ainda mais interessante. A sala do capítulo é de grande destaque, pela sua beleza e raridade.
"
129,"Deve ser visitado !
"
130,"Um encanto! Simpatia, bem esclarecidos, boa informação.
"
131,"Ir a Beja e não visitar o Museu é uma pena. Principalmente
"
132,"ir com familiares jovens.
"
133,"Museu da Cidade de Beja
"
134,"O Museu da Cidade de Beja conta tantas histórias... As cartas de amor de soror Mariana Alcoforado...  Um  espólio incrível.
"
135,"Fantástico
"
136,"Belíssimo museu, com pinturas e igreja muito bem conservados e vale bem a visita ! Pessoal muito simpático, esclareceu-nos todas as dúvidas.
"
137,"museu de Beja
"
138,"O museu está nas instalações do antigo convento de freiras. No tempo das invasões napoleónicas serviu de cenário aos amores de soror Mariana Alcoforado e o oficial do exército francês Junot, ela escreveu neste convento as famosas cartas de amor.
"
139,"Apresenta muitos e surpreendentes tesouros artísticos, quer a nível arqueológico, quer a nível de pintura. 
"
140,"Podemos ver alí vestígios das construções romanas do tempo em que Beja se chamava Pax Julia.
"
141,"Vale a pena visitar.
"
142,"Mágico
"
143,"Museu com um espólio fabuloso e tremendamente esquecido por quem de direito deveria tomar conta da nossa cultura, o Estado. Edifício a necessitar urgentemente de obras para proteger as peças de valor incalculável que alberga.
"
144,"Sra Conceição
"
145,"Grátis ao domingo. Aproveitamento de antiga igreja para museu, onde predomina arte religiosa, tem diversas salas temáticas e termina num 1 andar com peças resultantes de investigação arqueológica na região
"
146,"Acervo primoroso
"
147,"Um excelente acervo num edifício histórico belíssimo. Vale a pena a visita quando estiver em Beja ou na região.
"
148,"Riquíssimo
"
149,"Além da arte azulejar, as pinturas e a sala do capítulo, fazem deste espaço emblemático um tesouro no Baixo Alentejo.Antigo convento, aqui se deu o enamoramento de Soror Mariana do Alcoforado pelo soldado francês que tornaram célebres as cartas de amor trocadas entre ambos.Tem exposições temporárias e permanentes dos mais conceituados artistas. 
"
150,"Edificio Lindo
"
151,"Um edifício lindo à época, contudo estava fechado , mas no exterior está bem conservado.
"
152,"uma pena estar fechado a um sábado.
"
153,"LINDÍSSIMO
"
154,"Gostei muito de visitar o Museu Regional de Beja.
"
155,"Espaço magnífico onde podemos apreciar uma grande quantidade de artefactos históricos e arqueológicos de grande valor.
"
156,"O edifício é lindíssimo.
"
157,"Recomendo a visita.
"
158,"Museu regional
"
159,"Belíssimo museu. Pequeno, mas de muito interesse. A sala de arqueologia no primeiro andar é interessantíssima. Tem uma colecção de moedas antigas que recomendo.
"
160,"A visitar!
"
161,"Um tesouro escondido no coração de Beja, a visitar sem falta, dentro são surpresas que se sucedem. Simpáticos e hospitaleiros, muito disponíveis para os visitantes.
"
162,"Arte
"
163,"Pinturas riquissimas de valor e beleza. Com crianças pequenas nao deixa de ser bonito mas é do estilo, já vimos? Quando é que vamos embora
"
164,"Ingressos integrados
"
165,"Espaço museológico de excelência da cidade.
"
166,"Sendo o espaço museológico de referencia da cidade guarda em si enumeros achados arqueológicos e pinturas, em especial quadros importantes. Igreja ricamente decorada e ornamentada. Associado à figura histórica de Mariana Alcoforado.
"
167,"Museus
"
168,"O espaço do museu é fantástico, se bem que já precisava de uns arranjos. A colecção é muito boa e tendo em conta o lugar podia ser muito melhor. Aconselha-se a visita. 
"
169,"No Convento da Soror Mariana
"
170,"Funcionários algo""sonolentos"" e pouco simpáticos. Pareceram-me funcionários públicos no seu pior. 
"
171,"O Museu uma boa surpresa. Espólio magnífico numas instalações belíssimas. O Claustro tem uma decoração faustosa e pouco vulgar. 
"
172,"Enorme
"
173,"Necessita de algum tempo pois é um pouco grande mas vale a pena.
"
174,"Mesmo bilhete do museu visigótico. A vista é lindíssima.
"
175,"Um museu a ser visitado!!!
"
176,"Uma visita a não perder e de preferência com alguem que o ajude a conhecer a história desta cidade!!!!
"
177,"Belissima colecção de azulejos portugueses.
"
178,"soror mariana alcoforado
"
179,"o museu regional de beja está localizado no antigo mosteiro onde viveu soror mariana alcoforado (que faz parte do nosso imaginário romântico, com as suas cartas portuguesas)
"
180,"o museu tem um bom espolio, embora as peças mais valiosas  estejam no museu de arte antiga em lisboa.
"
181,"os claustros são dignos de visita, pela sua beleza e tranquilidade.
"
182,"Atraente
"
183,"Um museu bem preparado e cuidado, a visita decorreu sem um guia, podia-mos ter mais esclarecimentos, mas foi muito interessante para os mais pequenos
"
184,"Mais do mesmo e pouco do mais
"
185,"Enfim, mais uma vez no museu e aquilo que poderia ser ex-libris do local está mal preservado, toda aquela talha dourada está a perder o brilho todo o que é uma pena.
"
186,"De resto está igual, boas exposições.
"
187,"Interessante
"
188,"É um museu pequeno, mas vale a pena a visita. Os azulejos são fantásticos, mas a organização da exposição poderia ser melhor. Legendas só em português e nem o hand out entregue é da melhor qualidade (fotocópia de fotocópia com manchas pretas que dificultam a leitura). Os funcionários, na sua maioria, ocupam-se na habitual ""cusquice"" e nem um boa tarde se ouve.
"
189,"Magnifico
"
190,"Museu magnifico.
"
191,"Grande colecção de pintura, religião,idade medieval.
"
192,"Recomendadissimo. visita obrigatoria
"
193,"Vale muito a pena visitar
"
194,"Aqui encontram-se diferentes culturas e estilos num mesmo espaço.superou em muito as minhas expectativas.visitem com tempo.
"
195,"Excelente
"
196,"Este museu foi anteriormente um convento, lugar muito bonito!  Observe na fachada a janela de onde a freira se apaixonou pelo soldado francês. Linda histöria. O ingresso custa 3 euros.
"
197,"Acervo muito bom de pintura.
"
198,"Vale pela pintura religiosa presente, e pelo belo convento que nos recorda a Soror Mariana do Alcoforado.
"
199,"Valeria a pena uma melhor organização interpretativa do espaço bem como a conservação mais cuidado dos espaços.
"
200,"Imteressante e bonito.
"
201,"Linda arquitetura, perto do castelo
"
202,"Antigo convento de N. S. da Conceição onde morou a Sóror Mariana Alcoforado, famosa pelas suas cartas.
"
203,"Opitimos restaurantes na zona, como por exemplo Tem Avondo, com cozinha regional alentejana.
"
204,"Praça de táxis e teatro municipal mesmo ao lado.
"
205,"Uma parada Interessante para uma Road Trip
"
206,"O hotel tinha lido sobre esse museu em um guia e foram passar por Beja em nosso caminho para a parte norte de Portugal. A arquitetura foi maravilhoso. O museu é uma jóia local que incluiu um monte de informações sobre a história da região. No entanto, ela é pequena e havia pouca coisa na cidade. Se você estiver na área, vale a pena uma visita,
"
207,"Adorável, mas que precisava de mais tempo
"
208,"Este é um lugar maravilhoso para se visitar. Lembre-se, eles perto do meio-dia durante duas horas. Chegamos às 11:30, por isso, tivemos que mudar rapidamente para ver o quanto podíamos.
"
209,"Antigo Convento Franciscano
"
210,"Soberbo manuelina e arquitectura gótica e alguns distintos C16 moura azulejos e a janela que a freira, Mariana Alcoforado, foi alegado que olham para fora de enquanto espera pelo regresso de seu diretor francês cavalaria amante.
"
211,"Um pequeno museu muito média
"
212,"Bastante pequena .deu algumas informações sobre a área em redor locais, & o castelo etc., não é o mais informativo , média apresentação , apenas vale uma visita se em Beja
"
