,Avaliações
78,"Um excelente espaço arqueológico referente a Pax Júlia e gratuito, vale bem a pena visitar este local
"
79,"A gema de Beja
"
80,"Algo escondido pelo meio das ruas de Beja, este nucleo museologico tem na sua entrada um grande painel artistico bastante interessante, mas o verdadeiro segredo está dentro.
"
81,"Coloque os protectores de sapato porque vai andar suspenso em vidro , a olhar para baixo e ver história dos tempos de Roma até idade do ferro. 
"
82,"Preço? Gratis. Nem pense duas vezes.
"
83,"Ruinas e espólio lindíssimos
"
84,"Incrível
"
85,"Inaugurado em 2008, o acervo deste museu está sob os pés, debaixo de um piso de vidro. São utensílios da Idade do Ferro! Entrada grátis!!!!
"
86,"Gostei de tudo
"
87,"A proximidade do hotel ao centro da cidade, proximidade de monumentos e universidades, restauranhtes, bares
"
88,"Impressionante!
"
89,"Museu Impressionante
"
90,"Vale a pena o esforço para entender o significado dos restos dos antigos prédios embaixo do piso de vidro - peça o folheto dando uma tradução em inglês das placas de exibição - mas os reflexos do vidro e o alto nível geral de iluminação no prédio fizeram É difícil de apreciar. Seria bom se alguém pudesse se dar ao trabalho de limpar os excrementos de pombo do vidro sobre a exibição dos restos da estátua na parte de trás do prédio!
"
91,"Museu gratuito mas nada Escrito em inglês
"
92,"Este museu foi classificado como um dos lugares de topo para ir se você estiver visitando Beja. O museu é gratuita e é muito legal porque sob o museu são antigas ruínas romanas e mostrar o layout de uma casa romana.
"
93,"A única desvantagem é que tudo o que está escrito em Português, então eu não era capaz de entender nada. Venha aqui se você aprecia história e pode ler portugueses.
"
94,"Pequeno mas excelente Antigas peças Paleoithic
"
95,"O piso apresenta ruínas romanas abaixo - algumas paredes intersting, Wells, e arcos. Os monitores mostrar peças, um par de ferramentas de pedra datado de cerca de 1 milhões de anos atrás! Vale a pena uma parada rápida.
"
96,"História Local
"
97,"Curta, mas maravilhoso para caminhar e ver as ruínas abaixo. Também o mural explica muito e é ótimo para ser entre história.
"
98,"Um pouco de Roman Pax Julia
"
99,"Uma boa maneira de manter vivo Romano Beja (sob um chão de vidro).  As declarações escritas foram bons e há um monitor mais sobre Outeira do Circo, uma idade pagamento atrasado de bronze perto Mombeja a oeste de norte de Beja.
"
