,Avaliações
112,"Passear por um castelo medieval é com viajar no tempo. O passeio é gratuito. Andar pelas muralhas, e, subir até o topo da muralha e desfrutar de uma vista de 360o é maravilhoso.
"
113,"Lindo
"
114,"Castelo muito bonito e em ótimo estado de conservação. Tem uma vista espetacular da cidade e tanto por fora como por dentro é realmente deslumbrante. 
"
115,"Portugal no seu melhor
"
116,"Recomenda se vivamente a subir ao castelo e ver a vista deslumbrante sobre a cidade de Beja .
"
117,"As escadas íngremes o estreitas dificultam ou até mesmo impossibilitam pessoas de mobilidade reduzida. Pouco ou nada se pode fazer para melhorar este ponto...... VALE A PENA (MESMO ) visitar 👍👍👍👍👍
"
118,"agradável mas sem elevador
"
119,"subir ao cimo da torre de menagem ,proporciona uma vista única sobre a planície alentejana. a torre deste tipo mais alta de Europa e tanbém o ponto mais alto do alentejo, as escadas são muitas ,mas compensa o esforço
"
120,"Ótimo passeio 
"
121,"Um belo passeio. A Torre da Menagem , muito alta, oferece uma vista linda, compensando os quase duzentos degraus. 
"
122,"Agradável Surpresa
"
123,"Foi uma agradavel surpresa visitar este Castelo após as obras que teve.
"
124,"Aproveitei para visitar melhor e de facto, é dos castelos mais bonitos, com melhores vistas sobre a planicie alentejana.
"
125,"Apesar de estar fechado á noite, aconselho a visitar o seu exterior pois o jogo de luzes, as arvores torno o local fantastico.
"
126,"ATENÇÃO ás carteiras e coisas de valor pois é um local com algumas pessoas com ""ar duvidoso""
"
127,"Castelo simples mas com vista espetacular!
"
128,"O castelo é pequeno mas encontra-se em bom estado conservação e limpeza.
"
129,"Está no centro histórico de Beja e num dos pontos mais altos da cidade.
"
130,"No seu interior tem a casa que pertencia ao Governador da Cidade, agora convertido parcialmente em bar / café.
"
131,"O que merece a sua visita é a torre, com mais de 200 degraus para subir, com mais de 35 m de altura.
"
132,"Tem várias paragens intermédias possíveis, creio que são 3 sala, onde se pode ler um pouco da história de cada uma assim como descançar as pernas! :)
"
133,"No topo está uma vista deslumbrante sobre a cidade, 360º!!!
"
134,"É que a torre do castelo acaba por ser o mais alto edifício em toda a cidade de Beja!
"
135,"Só por isso merece visitar!
"
136,"Local interessante e bem preservado
"
137,"Falta um pouco de informação mas a construção está bem preservada. Pela posição privilegiada, ali devia ser o local de vigia que identificaria qualquer movimento no sentido da cidade. A entrada é gratis e o passeio leva uns 40 minutos. 
"
138,"Dica: Antes de ir se informe sobre os horários, por exemplo na hora do almoço o local fica fechado. 
"
139,"Interessante
"
140,"Vale pela esplêndida vista da Torre de Menagem que compensa o esforço da subida! Poderia estar mais bem conservado e atrativo para locais e turistas! 
"
141,"Vista boa mas mal aproveitado
"
142,"Vista boa mas mal aproveitado.
"
143,"Não tem material iterativo ou explicativo dentro do museu...não faz sentido.
"
144,"Apenas duas placas simples e com pouca informação.
"
145,"Merecia outra gestão, sobretudo nos dias de hoje em que os turistas estão mais exigentes, mais cultos e procuram enriquecimento cultural.
"
146,"A torre é a melhor atracção.
"
147,"Bem conservado, bem servido por um estacionamento, há um café em seu interior e uma vasta área para explorar. A torre é a melhor parte.
"
148,"Torre espetacular
"
149,"No castelo de Beja destaca-se a Torre com quase 40 metros, que proporciona uma vista fantástica sobre a cidade e a sua envolvência. A entrada é gratuita, é existe estacionamento por perto. Vale a pena visitar.
"
150,"Vista panorâmica 
"
151,"A visita ao Castelo consiste essencialmente na subida à torre de menagem, a mais alta da Peninsula Ibérica com os seus 38,8 metros de altura.
"
152,"A entrada é gratuita. 
"
153,"Relaxante
"
154,"É uma visita com um sabor a viagem no tempo.
"
155,"Os miúdos adoraram , fácil acesso. Há estacionamento à volta. Tem uma vista fantástica e é possível ter refeições parto.
"
156,"Aconselho a visitar
"
157,"Ferias em Beja
"
158,"Local a visitar e para quem nao tiver vertigens e estiver bem preparado para subir os 186 degraus da torre do menagem a vista compensa
"
159,"Castelo lindíssimo!
"
160,"Castelo muito bem conservado e que permite umas vistas soberbas. Subir à torre e olhar sob Beja e Espanha é fantástico. A senhora que nos atendeu foi muito simpática e prestável e o preço são uns simbólicos 2 euros.
"
161,"Vista maravilhosa
"
162,"A torre de Menagem é linda e tem uma vista deslumbrante. Lugar fantástico para visitar em qualquer tipo de situação, seja em família ou com amigos.
"
163,"O Castelo de Beja está muito bem cuidado, sendo possível subir à torra e desfrutar das vistas fantásticas sobre a cidade de Beja. Visita obrigatória.
"
164,"Muito bonito e vem conservado
"
165,"Adoramos a visita. Castelo muito bem conservado e muito bonito. Digno de se ver. As pessoas que lá trabalham são muito acolhedoras e simpáticas. 
"
166,"fantastico!
"
167,"Bem recuperado,em bom estado de conservação,imponencia e com uma vista fantastica sobre a planicie alentejana.Entrada Gratis.
"
168,"Simplismente lindo <3
"
169,"Amei toda a cidade, povo receptivo clima agradavel e monumentos incriveis incluindo este. Muita historia e cultura a se desfrutar.
"
170,"Se você está em Beja vale conhecer, mas nada de especial. Apenas subir para ver a vista da cidade, isso se não tiver problemas com escadas
"
171,"Intervenção e recuperação do edificado do castelo com mais valia para os visitantes
"
172,"Espaço envolvente cuidado. Facilidade no acesso e boa circulação no espaço de muralha. Excelente local de visita.
"
173,"Castelo altaneio
"
174,"Com uma vista deslumbrante o castelo de Beja presenteia-nos com uma vista sobre a vasta planície alentejana, magnífica.
"
175,"Lindo Castelo de Beja!
"
176,"O Alentejo é lindo, quente e lindo!
"
177,"Torre de Menagem, sem dúvida linda!
"
178,"Vale a pena visitar o Alentejo 1
"
179,"Um excelente local para visitar!
"
180,"A torre do Castelo tem vistas fantásticas sobre a cidade de Beja. É gratuito e tem parque de estacionamento perto do local. 
"
181,"A perder de vista
"
182,"Impressionante torre de menagem.
"
183,"Conforme descrito, permite ver a kms de distância em todas as direções.
"
184,"Bem arranjado, grátis e de fácil acesso.
"
185,"Perceber os porquês e conhecer z história que que é e faz o nosso país.
"
186,"Triste é ver a falta de respeito que certas pessoas têm pelo patrimônio nacional.
"
187,"Fazer inscrições estúpidas em estátuas com séculos de existência!!!
"
188,"A mais alta...
"
189,"A mais alta torre de menagem do país...
"
190,"Muitas escadas para subir para encontrar uma vista de cortar a respiração... 
"
191,"Castelo bem conservado, sendo possível caminhar nalgumas muralhas.
"
192,"Castelo Beja
"
193,"Vale a pena visitar o Castelo de Beja. De fácil acesso e gratuito, permite subir às muralhas, até ao topo e contemplar a vista da vasta planície.
"
194,"Viagem Portugal 
"
195,"Vale a visita sim, afinal, pontos históricos e em lugares diferentes aos grandes centros e de grande trânsito de turistas, sempre vale a pena. Para quem está passeando de Évora para Região de Lagos, parar para esticar as pernas e conhecer, afinal está no caminho. Recomendo sim.
"
196,"É um castelo pequeno, mas tem a sua história.
"
197,"Apesar de ser pequeno, vale a pena visitar. Tem uma torre que se pode subir e ver a paisagem. Está situado no centro e tem um parque para estacionar as viaturas.
"
198,"Parabéns pela conservação 
"
199,"Este espaço está muito bem conservado, à vista é fantástica e permite ver toda a cidade do topo da torre. Uma situação muito interessante é ser de visita gratuita, o que é cada vez mais raro.
"
200,"Super conservado
"
201,"Eu fico muito contente quando vejo castelos bem conservados pelo mundo. Este estava muito mesmo conservado. Pode-se entrar sem pagar nada.
"
202,"Uma Torre para subir
"
203,"Os restos do castelo de Beja, com uma torre reconstruída.
"
204,"A subida ao cimo da torre vale o esforço, são 183 degraus em espiral, mas a vista lá de cima é espetacular.
"
205,"O miradouro de beja
"
206,"Um belo monumento a visitar. É possivel ver toda cidade de cima das torres. Lugar cuidado e limpo. Entrada gratis. Vale bem a visita. 
"
207,"Fantástico
"
208,"Gostámos muito do castelo, mas gostaríamos de destacar principalmente a amabilidade do senhor funcionário que nos recebeu no posto de turismo. Um bem-haja e obrigado pela simpatia!
"
209,"A bucólica Beja e seu castelo
"
210,"Beja é uma pequena cidade do Alentejo muito graciosa pela sua simplicidade, pelas casinhas brancas, pelo vagar do seu cotidiano. O Castelo de Beja é bem interessante, a muralha e a torre foram revitalizadas. Do alto da Torre podemos ver a cidade toda.
"
211,"Bonito Castelo
"
212,"Bonito Castelo, muito bem cuidado por fora, não foi possível ver por dentro. Vale a pena passar por lá pois é único a visita a um castelo.
"
213,"Extraordinário 
"
214,"Chegámos já quase na hora de fecho da torre do castelo; na verdade está já deveria estar fechada mas como a senhora do posto de turismo estava com visitantes não o fez mais cedo. Após uma breve troca de informações a senhora disse para irmos à torre dado que ela ainda tinha de subir ao topo para fechar tudo.
"
215,"Subimos e a cada fase desta torre fantástica ficávamos cada vez mais maravilhados com a beleza de algo construído numa época em que não havia máquinas como hoje.
"
216,"Quando chegámos ao topo a senhora juntou-se a nós e, apesar de já estar mais do que na hora de saída, perdeu tempo a explicar-nos tudo o que questionámos sobre a cidade, sobre o castelo... tenho pena de não me lembrar do nome da senhora, mas a simpatia nunca será esquecida.
"
217,"E a vista deste local sobre a cidade de Beja e sobre a planície toda à volta é de cortar a respiração. 
"
218,"Vale a pena
"
219,"Castelo muito bonito, torre de menagem das maiores da península ibérica, bem conservado. Vista lindíssima sobre uma cidade parada no tempo
"
220,"Castelo bonito, vale a pena
"
221,"o Castelo é muito bonito, tem paisagens lindas, muitas escadas para chegar ao cima da torre. o único sítio de Beja que vale a pena ver. 
"
222,"cidade parada no tempo
"
223,"terça-feira, cidade velha e sem vida, parada no tempo, o castelo estava fechado,a zona da mouraria achei pouco interessante, demasiado simples, palacetes degradados incluindo o da GNR,enorme e uma parte das parede a cair, o parque da cidade, pouco cuidado e com algum lixo, se não fosse as laranjeiras carregadas de laranjas a dar a sua graça.....
"
224,"Passeio 
"
225,"Gostei sítio muinto tranquilo para passar calmo sossegado com vistas muinto bonitas quando poder voltarei 
"
226,"Nada especial
"
227,"Só gostei da vista para Os arredores de Beja. Apesar de haver um café no interior, nao é nada de especial.
"
228,"Regresso ao passado
"
229,"Simplista e sui generis. Mas tem muralhas é uma torre com muitos degraus...
"
230,"Visita em 30m mas com exercícios de pernas a preceito!
"
231,"Cheio de charme e rico em história!
"
232,"Beja, cidade medieval. Após 500 anos do domínio mouro, Al Andaluz Islâmico, foi retomada e reconstruída pelo rei de Portugal. Torre de 40 metros de altura, com nova estratégia para ataque e defesa com três níveis de torre e e em pontos diversos, com criação de muralhas com passadiços mais largos e com agulhas para ataque vertical.
"
233,"A visitar em Beja
"
234,"Um bonito Castelo no meio da cidade de Beja. Com vista à paisagem alentejana. Nota-se na torre principal uma reconstrução recente com pedra atual, que tendo em conta o lado positivo não deixou que o castelo ficasse em ruínas mas por outro lado está presente a atualidade o que descaracteriza um pouco. Mas é um monumento a não perder por quem passa por ali. 
"
235,"Mais um castelo altaneiro
"
236,"Mais um pouco da nossa história... Subir a torre do castelo só é aconselhável a quem não sofra de vertigens e que tenha ingerido uma bela refeição.
"
237,"tipico do alentejo
"
238,"um castelo que, como quase todos no alentejo, vale pela vista. A vista e magnifica com planicies a perder de vista
"
239,"Ótimo passeio!
"
240,"Um passeio pela história de Portugal, o Castelo de Beja é uma visita obrigatória em Beja!
"
241,"A vista é simplesmente incrível! Vale a pena percorrer cada corredor e cada escadaria do castelo!
"
242,"Mas vá com um tênis confortável, a caminhada é longa!
"
243,"Torre altaneira
"
244,"A mais alta e bela torre de menagem de Portugal. Avistada a quilómetros quando nos aproximamos de Beja, vale a pena subir ao seu terraço e ver todo o Alentejo!
"
245,"Um castelo impunente onde a sua torre menagem é referencia nacional.
"
246,"Uma visita a este local é certa de conter muitas historias para recordar no dia de amanhã.
"
247,"Melhor local do Alentejo para visitar. Com a maior e melhor torre de menagem de Europa. Optimo para um passeio familiar ou em casal.
"
248,"Lindo castelo 
"
249,"O pessoal não fala muito de Beja, Mas gostei muito da cidade, em especial do castelo. Tem uma imponência tremenda e uma vista muito ampla em dias límpidos, de sua torre central. Vale muito a visita.
"
250,"Pequeno mas divertido
"
251,"É um bom sitio para uma pequena e rápida visita.
"
252,"O castelo está bem arranjado e da para chegar ao cimo da Torre.
"
253,"Castelo e Torre de Menagem muito interessantes
"
254,"O castelo e a torre de menagem merecem sem dúvida uma visita. Da torre de menagem, bem imponente, pode-se apreciar uma vista bem agradável sobre toda a cidade de Beja. É possível chegar até ao topo da Torre.
"
255,"É uma visita gratuita.
"
256,"Bonito castelo com vista imponente
"
257,"Bonito castelo com vista imponente e gratuito, o único ponto contra será o acesso impeditivo a pessoas com deficiência, mas será difícil resolver.
"
258,"Linda vista lá de cima e grátis!
"
259,"Entrada livre. Possibilidade de subir na torre e ter uma linda vista.
"
260,"No centro de Beja. Estacionamento a volta do castelo grátis.
"
261,"Torre de menagem imponente
"
262,"As vistas do castelo para as planícies alentejanas são um encanto. É cansativo, mas vale a pena subir ao topo da torre de menagem.
"
263,"Recomendo
"
264,"Belo monumento.
"
265,"Sabendo-se da sua existência...porque sinalização não existe...vale muito a pena visitar..muito bem conservado é rico em património histórico...uma torre de menagem a valer o esforço de subir a 38 metros por escada..vista vislumbraste..
"
266,"Uau!
"
267,"Vista deslumbrante, espaço bem conservado, com algumas explicações interessantes. A subida à torre não foi fácil para as crianças mas adoraram a aventura.
"
268,"Castelo mais lindo do Alentejo
"
269,"Fui um diversos castelos e este é o mais bonito do Alentejo. Prepare-se lara subir os 180 degraus da torre, pois a vista é imperdível! 
"
270,"Uma ida ao Castelo
"
271,"Não muito grande mas depois de admirar mais este monumento pode ver uma vista ampla e abrangente de Beja cidade.
"
272,"Bela Vista
"
273,"Castelo muito bonito, com uma vista magnífica sobre a cidade e a planície alentejana.
"
274,"Ideal também para quem gosta da História de Portugal.
"
275,"Torre de menagem do castelo
"
276,"A torre foi restaurada e é possível visita-la até ao ultimo nível, a vista é maravilhosa sobre a cidade de Beja e os terrenos que a circundam.
"
277,"Belíssimo castelo, belíssima vista
"
278,"Belíssimo castelo, muito bem preservado. Vale a pena a subida à torre, custa um bocadinho mas a vista sobre a cidade é magnifica.
"
279,"Consegui chegar ao topo do Castelo que tem uma vista magnifica dobra a cidade
"
280,"Recomendo a todos aqueles que se interessam por historia além disso esta muito bem conservado e a chegada ao topo temos uma vista deslumbrante sobre a cidade de Beja.
"
281,"Visita histórica
"
282,"Bonito o local com óptima vista. Recomendo a tem gosta de história ou de uma bela vista... Dá para ver Beja em toda a sua área....                             
"
283,"Fim de semana 
"
284,"Visita agradável com excelente vista panorâmica da cidade de Beja e dos campos agrícolas adjacentes, espaços cuidados e limpos. Torre de menagem muito bem cuidada. 
"
285,"Passagem por Beja
"
286,"A visita a este castelo é imprecindivel. Tudo muito bem cuidado. Se tiver coragem suba à Torre. São 200 degraus, mas vale a pena pela vista.
"
287,"Uma majestosa vista sob a planície.
"
288,"É a maior torre da península Ibérica, com uma vista majestosa sob a planície.
"
289,"Tem uma manutenção excelente e um bom posto turístico no local.
"
290,"Renovado castelo
"
291,"O castelo de Beja é ponto de paragem obrigatório para quem visita esta cidade do interior alentejano.
"
292,"Com umas vistas 360 graus no topo da torre sobre toda a cidade, a verdade é que este espaço leva-nos de novo para os idos tempos dos reis e das raínhas.
"
293,"As suas infindáveis escadas conduzem-nos à magia da História de Portugal e que culminam no último piso que oferece um vislumbre quase mágico a partir da sua torre principal.
"
294,"A torre cimeira sobre a cidade
"
295,"O castelo de Beja foi alvo de obras de conservação, o que o deixou muito apelativo e bem enquadrado na malha urbana da cidade. A sua torre destaca-se no centro histórico da cidade. A visita ao castelo e à sua torre é obrigatória para se ter uma panorâmica geral da cidade.
"
296,"Familiar
"
297,"Um dos castelos mais encantadores . Muito bem conservado custa um pouco subir as escadas mas quando se atinge o topo é uma sensação maravilhosa ver a vista panorâmica da nossa cidade e a planície alentejana.  Quem visitar uma vez vai ficar encantado e volta de certeza com mais família ou amigos 
"
298,"atracção principal ou (prato principal)
"
299,"É dos poucos castelos de portugal que já visitei e não paguei para entrar e mesmo assim esta impecável e bem conservado. parabéns a quem toma conta do castelo
"
300,"Até perder de vista
"
301,"Um espaço estimado e bem preservado tanto no exterior como no interior. Após alguns degraus, a vista do topo da torre é até perder de vista. Aos sábados de manhã podem contar com uma pequena feira ás suas portas.
"
302,"Muito agradável
"
303,"Castelo muito bonito e limpo. A torre e lindíssima, não se paga para visitar. Tem loja no interior para levar uma lembrança.
"
304,"Visita ao domingo
"
305,"Belo local para tirar fotos. Entrada gratuita. Não é exatamente um castelo, apenas as muralhas e uma torre. Não deixe de subir até o cume da torre para admirar a paisagem.
"
306,"Mais alta torre menagem da Iberia 
"
307,"Excelente vista. Muitos degraus. Possibilidade de melhorar o espaço. Boas informações no posto turismo
"
308,"Ex-libris da cidade.
"
309,"Reza a lenda que que sobe à sua torre altaneira para apreciar a magnifica planicie alentejana, se enamora na cidade e dela mais não se esquecerá.
"
310,"Beja encatadora
"
311,"O castelo de Beja está muito bem recuperado e permite que entremos numa outra época da cidade contando a história do nosso país.
"
312,"Alentejo
"
313,"Fantástico espaço e excelentemente conservado. Subida torre de menagem é imperativo de visitar. Subir as escadas vale a pena. 
"
314,"Beja 
"
315,"Castelo histórico e no geral bem conservado. Nas escadarias o piso está muito gasto e torna-se especialmente perigoso para as crianças. 
"
316,"Ademiravel
"
317,"Não tem nada de especial, com a exceção de Subir a torre de menagem, Vistas maravilhosas sobre a planície alentejana! Vale a pena subir aqueles 45 metros! 
"
318,"Visita aconselhada
"
319,"Vir a Beja e não ver o Castelo...é lamentável. É um Castelo simples, que pode ser visto em 1 ou 2 horas.Bastante fotogênico.
"
320,"Medieval e bem conservado 
"
321,"Na interessante cidade de Beja , no baixo Alentejo , esse castelo-fortaleza , apresenta-se muito bem cuidado . Situado no centro da cidade , chama a atenção pela imponente torre de menagem .Vale bem  a visita.
"
322,"Torre de Menagem muito interessante.
"
323,"O Castelo de Beja vale a pena visitar pela sua torre de menagem, a mais alta de Portugal
"
324,"Do topo da torre tem-se uma vista espectacular, conseguindo-se ver todo o Baixo Alentejo.
"
325,"Simples porém muito legal
"
326,"Situado no centro da cidade é possível visitá-lo por completo.
"
327,"Entrada é franca e sem guias.
"
328,"Vale a pena subir a sua torre e ter uma vista muito boa de toda a cidade e região.
"
329,"Gostei
"
