,Avaliações
14,"Uma vez que o alojamento é isolado e não existe bar, os quartos deveriam ter um frigobar para haver a possibilidade de ter bebidas frescas
"
15,"Cama confortável. O quarto estava muito limpo.
Pequeno almoço é de muito boa qualidade
"
16,"A estrada de acesso está em más condições. Muitas moscas junto à piscina.
"
17,"Do sossego, das comodidades e do pequeno-almoço. 
Apesar da restrição da hora limite para o check-in, após coordenação, tínhamos alguém à nossa espera apesar do atraso.
"
18,"Pois informação sobre a zona, nomeadamente restauração.
"
19,"Ótimo pequeno almoço. Piscina muito agradável. Espaços limpos e muito bem decorados.
"
20,"Se por um lado a localização é excelente pela tranquilidade e vistas que proporciona, torna-se numa desvantagem tendo em conta que não existem locais para refeições nas proximidades.
"
21,"A simpatia e disponibilidade da Nádia.
A piscina e a sua envolvência.
O pequeno almoço bastantes variado e preparado com todo o cuidado.
"
22,"Nao tem tv! mas em descanso nao fez mta falta! A agua saia um pouco escura da casa de banho quando se abre a agua! tem de se deixar correr durante um pouco.Nao havia muitas cadeiras a beira da piscina
"
23,"Da casa antiga e preservada com a beleza rustica e caracteristica da regiao. O snooker para distrair. a piscina! o pequeno almoço! a paisagem e por ultima mas nao menos relevante a NADIA! muito simpatica e acolhedora.
"
24,"A área circundante ao edifício principal e ligações com as comodidades poderiam estar mais cuidados. As casas de banho deveriam ser renovadas e deveria haver um cuidado com os cheiros de esgotos dentro dos quartos. Algumas comodidades, na minha opinião, deveriam estar disponíveis como: internet (inexistente), frigobar nos quartos (inexistente),  bar indisponível, tv nos quartos, poderiam ter mais informação sobre a região e acordos com restaurantes e museus.
"
25,"A localização deslumbrante, a funcionária, o pequeno almoço, a decoração.
"
26,"Bom pequeno almoço e ótima funcionaria.
"
27,"Não haver refeição ao jantar.Não haver Wi-Fi gratis.
"
28,"Sossego.Simpatia.Piscina, pequeno-almoço, água 1.5L grátis.Simpatia dos outros hópedes.
"
29,"A falta de televisão no quarto
"
30,"Sítio ideal para descansar, excelente piscina e o bom pequeno almoço. Simpatia da Giciane que esteve sempre disponível!
"
31,"Da distancia que fica tudo!
"
32,"Pequeno almoço muito bom.Pena não servirem refeições ligeiras, temos que nos deslocar muito para fazer-mos refeições.
"
33,"Não haver Wi-Fi. 
"
34,"Da localização, tem uma vista linda, típica alentejana. A funcionária é muito simpática, muito eficiente e sempre disponível. A casa é típicamente alentejana, e fazem-nos sentir como se estivessemos na nossa casa. 
"
35,"A aguarda piscina poderia ser melhor filtrada. Algumas coisas na casa de banho necessitam de manutenção. Zona jardinada à volta da piscina diminuiria a entrada de terra e folhas na piscina.
"
36,"A simpatia de quem nos recebeu foi formidável! O pequeno almoço era excelente e variado. A anfitriã ver-nos sentir em casa. O AC nos vários espaços foi uma agradável surpresa. Gostamos das árvores que rodeiam o espaço é da variedade de vegetação.
"
37,"O cheiro a esgoto que vinha da casa de banho.Só haver uma funcionária para dar atenção a tanta coisa.
"
38,"Lugar tranquilo e a piscina agradável. A funcionária muito simpática. O pequeno almoço muito bom. O serão o bilhar é uma boa companhia.
"
39,"As instalações precisam de renovação e cuidado, existem problemas notórios de infiltrações e humidade. Durante o fim de semana o quarto não foi alvo de qualquer limpeza nem de arrumação. Wi-Fi inexistente. O salão de pequeno almoço é virado ao sol, sem qualquer protecção nos janelões existentes, o que torna o ambiente extremamente quente.
"
40,"O pequeno almoço era simples mas com qualidade. A simpatia e disponibilidade da única funcionária foi excelente, sempre prestável e super simpática, deixou-nos o seu contacto móvel desde a nossa chegada para qualquer eventualidade. O local é muito tranquilo, óptimo para descansar. Roupa de cama e de banho imaculadamente limpa.
"
41,"Os acessos, as estradas podiam estar melhoradas.
Acho que a piscina devia ter a indicação da profundidade que tem
O quarto flores à noite quando os outros hóspedes estão na sala de convívio não se consegue dormir. 
"
42,"A D. Nádia foi sempre muito simpática.
O pequeno almoço era bom e a limpeza também estava sempre em dia. 
"
43,"- Quarto Azul com cheiro a esgoto. Durante a noite fez-se notar um cheiro a amoníaco, oriundo de uma descarga na canalização que provocou intoxicação respiratória e irritação da vista a uma das pessoas e fez com que tivesse de ser medicada.
 Surpreendentemente, quando reclamámos,  ninguém estranhou e ainda confirmaram a existência do cheiro a desinfetante… fomos forçados a trocar de quarto! 
"
44,"Pequeno almoço
Simpatia dos funcionários e prontidão!
"
45,"A água da piscina estava suja, parecendo não haver manutenção há algum tempo. Não há manutenção diária dos quartos. Seria um local excelente se estivesse mais cuidado. 
"
46,"A simpatia e disponibilidade da Nádia, o pequeno almoço variado, a decoração e enquadramento do monte na natureza. 
"
